91;57;1;0;0
57;11;1;0;0
11;77;1;0;0
77;81;1;0;0
81;23;1;0;0
23;20;1;0;0
20;32;2;0;0
32;20;2;0;0
20;1;1;0;0
1;34;1;0;0
34;12;1;0;0
12;87;1;0;0
87;37;1;0;0
37;8;1;0;0
8;58;1;0;0
58;91;1;0;0
91;66;1;1;0
66;24;1;1;0
24;67;2;1;0
67;89;2;1;0
89;36;2;1;0
36;24;2;1;0
24;28;1;1;0
28;47;1;1;0
47;30;1;1;0
30;49;1;1;0
49;55;1;1;0
55;51;1;1;0
51;3;1;1;0
3;27;1;1;0
27;91;1;1;0
91;4;1;2;1
4;29;1;2;1
29;65;1;2;0
65;75;1;2;0
75;16;1;2;0
16;26;1;2;0
26;14;1;2;0
14;85;1;2;0
85;38;1;2;0
38;50;2;2;0
50;22;2;2;0
22;38;2;2;0
38;74;1;2;0
74;59;1;2;0
59;91;1;2;0
91;15;1;3;0
15;19;1;3;0
19;2;1;3;0
2;68;1;3;0
68;79;1;3;0
79;70;1;3;1
70;43;2;3;1
43;63;2;3;1
63;35;2;3;1
35;18;2;3;1
18;86;2;3;1
86;70;2;3;1
70;7;1;3;1
7;91;1;3;0
91;64;1;4;0
64;88;2;4;0
88;46;2;4;0
46;69;2;4;0
69;64;2;4;0
64;83;1;4;0
83;54;1;4;0
54;45;1;4;0
45;41;1;4;0
41;31;1;4;0
31;56;1;4;0
56;5;2;4;0
5;56;2;4;0
56;42;1;4;0
42;62;1;4;0
62;91;1;4;0
91;53;1;5;0
53;9;1;5;0
9;80;2;5;0
80;9;2;5;0
9;13;1;5;0
13;33;1;5;0
33;10;1;5;0
10;17;2;5;0
17;25;2;5;0
25;48;2;5;0
48;10;2;5;0
10;6;1;5;0
6;76;1;5;0
76;91;1;5;0
91;84;1;6;0
84;21;2;6;0
21;84;2;6;0
84;72;1;6;0
72;52;1;6;0
52;78;1;6;0
78;60;2;6;0
60;78;2;6;0
78;61;1;6;0
61;71;1;6;0
71;73;1;6;0
73;82;1;6;0
82;44;1;6;0
44;90;1;6;0
90;40;1;6;0
40;39;1;6;0
39;91;1;6;0
