81;65;1;0;0
65;51;1;0;0
51;12;1;0;0
12;35;1;0;0
35;16;1;0;0
16;19;1;0;0
19;32;1;0;0
32;36;1;0;0
36;2;1;0;0
2;64;1;0;0
64;5;1;0;0
5;55;1;0;0
55;11;1;0;0
11;78;1;0;0
78;81;1;0;0
81;3;1;1;0
3;37;1;1;0
37;43;1;1;0
43;13;1;1;0
13;50;1;1;0
50;53;1;1;0
53;48;1;1;0
48;30;1;1;0
30;70;1;1;0
70;41;1;1;0
41;42;1;1;1
42;14;1;1;1
14;59;1;1;1
59;34;1;1;1
34;81;1;1;0
81;76;1;2;1
76;52;1;2;0
52;15;1;2;0
15;23;1;2;0
23;31;1;2;0
31;29;1;2;0
29;28;1;2;0
28;27;1;2;0
27;26;2;2;0
26;27;2;2;0
27;45;1;2;0
45;24;1;2;0
24;46;1;2;0
46;10;1;2;0
10;81;1;2;0
81;60;1;3;0
60;6;1;3;0
6;69;2;3;0
69;6;2;3;0
6;18;1;3;0
18;79;1;3;0
79;4;1;3;0
4;1;1;3;0
1;20;1;3;0
20;74;1;3;0
74;67;1;3;0
67;58;1;3;0
58;77;1;3;0
77;73;1;3;0
73;25;1;3;0
25;81;1;3;0
81;75;1;4;0
75;80;1;4;0
80;61;2;4;0
61;7;2;4;0
7;80;2;4;0
80;44;1;4;0
44;49;1;4;0
49;40;1;4;0
40;57;1;4;0
57;38;1;4;0
38;8;1;4;0
8;17;1;4;0
17;71;1;4;0
71;81;1;4;0
81;56;1;5;0
56;66;1;5;0
66;22;1;5;0
22;21;1;5;0
21;72;1;5;0
72;68;2;5;0
68;72;2;5;0
72;39;1;5;0
39;54;1;5;0
54;33;1;5;0
33;47;1;5;0
47;62;1;5;0
62;9;1;5;0
9;63;1;5;0
63;81;1;5;0
