iter,time,valid,config7_cost,solver_cost,easy_cost,number_of_violations,classifier_score,entropy_score,top_arc_value,top_3_arcs
1,0.8699178257957101,False,0,0,0,,0.0028275828808546066,4.114049,1.0,0.9176822384198506
2,0.9019056623801589,False,1256.63,1256.57,1259.35,1.0,0.0034232307225465775,4.1303225,1.0,0.912444269657135
3,0.8977245707064867,False,1256.63,1256.53,1259.35,2.0,0.0028275828808546066,4.114049,1.0,0.9176822384198506
4,0.8484688112512231,False,1256.63,1256.53,1259.35,2.0,0.0028286317829042673,4.114088,1.0,0.91765212615331
5,0.8640165217220783,False,1256.63,1256.91,1259.35,1.0,0.0047267223708331585,4.192339,0.7246100505193075,0.6699741747644213
6,0.8725913651287556,False,1256.63,1256.53,1259.35,2.0,0.0028286317829042673,4.114088,1.0,0.91765212615331
7,1.158037253189832,False,1256.63,1256.57,1259.35,2.0,0.0034243890549987555,4.130464,1.0,0.9124081267250909
8,0.8806278328411281,False,1256.63,1257.19,1259.35,1.0,0.0021380626130849123,4.141595,0.7480733752250671,0.6731461511717902
9,0.8625646778382361,False,1256.63,1257.55,1259.35,1.0,1.0775207783808582e-06,3.9257782,0.5554469267527262,0.5397804313235812
10,0.8653306756168604,False,1256.63,1257.92,1259.35,1.0,2.371263008171809e-06,3.9239783,0.568463393052419,0.5638094716601901
11,0.9445385937578976,False,1256.63,1258.69,1259.35,1.0,2.9748634915449657e-06,3.8930955,0.5007665157318115,0.4304168474343088
12,0.8478076169267297,True,1256.63,1258.74,1259.35,0.0,3.348074528730649e-07,3.6474652,0.362594880660375,0.35762025250328916
13,0.8708201879635453,True,1256.63,1259.17,1259.35,0.0,4.447093033377314e-06,3.542128,0.7854361414909363,0.6236218637890286
14,0.8458668189123273,False,1256.63,1259.17,1259.35,1.0,4.447093033377314e-06,3.542128,0.7854361414909363,0.6236218637890286
15,1.1689947238191962,False,1256.63,1259.17,1259.35,1.0,4.439143594936468e-06,3.5420985,0.7854329903920492,0.623626634809706
16,0.8897736966609955,True,1256.63,1260.59,1259.35,0.0,0.0005251291440799832,3.8291473,0.8827782471974691,0.7053890155421363
17,0.8708704239688814,False,1256.63,1260.16,1259.35,1.0,7.969090916049026e-07,3.8580222,0.7942497213681539,0.6849681867493523
18,0.9062807420268655,False,1256.63,1260.61,1259.35,1.0,6.17092496213445e-07,4.0334997,0.4238313714663188,0.3266798860496945
19,0.874878962058574,False,1256.63,1260.61,1259.35,1.0,6.168583581711573e-07,4.0335126,0.4238242050011953,0.32668164041307235
20,0.8506629029288888,False,1256.63,1261.04,1259.35,1.0,0.0014402706874534488,3.9020185,0.8913274606068929,0.7187081628375583
