iter,time,valid,config7_cost,solver_cost,easy_cost,number_of_violations,classifier_score,entropy_score,top_arc_value,top_3_arcs
1,0.9236523001454771,False,0,0,0,,0.44272440671920776,4.316701,0.5543592194716136,0.5364829424354766
2,0.8553530592471361,False,1262.19,1262.86,1262.09,1.0,0.986473798751831,2.6674986,0.9398775537808736,0.7580492575963338
3,0.8562283730134368,False,1262.19,1263.4,1262.09,2.0,0.5011687278747559,3.0996552,0.1710738491266966,0.136144907027483
4,0.858091798145324,False,1262.19,1263.4,1262.09,2.0,0.3193526864051819,4.246415,0.5195642590522767,0.5004006240102981
5,0.8780324389226735,False,1262.19,1263.66,1262.09,1.0,0.02854396589100361,4.1989737,0.8853954394658407,0.811038343111674
6,1.1224697059951723,False,1262.19,1264.55,1262.09,1.0,0.004683084785938263,4.146287,0.7060877164204915,0.6795713437928095
7,0.8658389993943274,False,1262.19,1264.69,1262.09,1.0,0.03650436922907829,4.242614,1.0,0.9148547834820219
8,0.8587633138522506,False,1262.19,1265.12,1262.09,1.0,0.006466384045779705,4.168713,0.8138413468996684,0.7141323665777843
9,0.8622278133407235,False,1262.19,1264.55,1262.09,2.0,0.006623852998018265,4.163683,0.6919273992379507,0.6602591050995721
10,0.8651069249026477,False,1262.19,1265.61,1262.09,2.0,3.1720085189590463e-06,4.0629215,0.7830223798751831,0.7166941715611351
11,0.853733406867832,False,1262.19,1265.74,1262.09,2.0,3.829952675005188e-06,4.07304,0.7921095967292786,0.6802259842554728
12,0.8893033140338957,False,1262.19,1265.86,1262.09,2.0,8.511274245392997e-06,4.026624,0.6810097694396973,0.5985968907674154
13,0.8555346210487187,False,1262.19,1265.63,1262.09,3.0,5.778782906418201e-06,4.040908,0.76341313123703,0.6284129824903276
14,0.8609963371418417,False,1262.19,1265.63,1262.09,3.0,6.230589406186482e-06,4.04206,0.762933349609375,0.6282355692651537
15,1.1160481697879732,False,1262.19,1264.55,1262.09,3.0,0.006623852998018265,4.163683,0.6919273992379507,0.6602591050995721
16,0.8649593857116997,False,1262.19,1264.55,1262.09,3.0,0.006623852998018265,4.163683,0.6919273992379507,0.6602591050995721
17,0.8761601876467466,False,1262.19,1265.86,1262.09,3.0,8.511274245392997e-06,4.026624,0.6810097694396973,0.5985968907674154
18,0.8496457329019904,False,1262.19,1265.63,1262.09,3.0,5.778782906418201e-06,4.040908,0.76341313123703,0.6284129824903276
19,0.8523887749761343,False,1262.19,1265.63,1262.09,3.0,6.230589406186482e-06,4.04206,0.762933349609375,0.6282355692651537
20,0.8574665212072432,False,1262.19,1266.5,1262.09,3.0,1.3963631317892577e-06,4.092569,0.7292224168777466,0.660520288679335
