iter,time,valid,config7_cost,solver_cost,easy_cost,number_of_violations,classifier_score,entropy_score,top_arc_value,top_3_arcs
1,0.8598486999981105,False,0,0,0,,0.9983160495758057,2.5018077,0.8953132629394531,0.8250733256340027
2,1.112658363301307,True,1266.31,1264.85,1268.29,0.0,0.45251110196113586,4.4465885,0.922895614306132,0.8800915016068352
3,0.8586524273268878,False,1266.31,1264.85,1268.29,1.0,0.45251110196113586,4.4465885,0.922895614306132,0.8800915016068352
4,0.8856928702443838,False,1266.31,1264.85,1268.29,1.0,0.4524204730987549,4.44997,0.9251758297284444,0.8822438544697232
5,0.8642446366138756,True,1266.31,1266.4,1268.29,0.0,0.03894559293985367,4.4489856,0.7725468436876933,0.7647026879919899
6,0.890493884216994,True,1266.31,1267.38,1268.29,0.0,0.01931551657617092,4.3969593,0.7703987042109172,0.7369883083634906
7,0.8727263752371073,True,1266.31,1267.88,1268.29,0.0,0.00018812880443874747,4.364717,0.7970428049564362,0.6317465749051835
8,0.8568888427689672,True,1266.31,1268.03,1268.29,0.0,0.00043565340456552804,4.37278,0.7785587072372436,0.7304483122295803
9,0.8863013507798314,True,1266.31,1268.23,1268.29,0.0,0.004648406989872456,4.3758736,0.8394640604654948,0.6248907137248251
10,1.1331002870574594,False,1266.31,1267.88,1268.29,1.0,0.00018812880443874747,4.364717,0.7970428049564362,0.6317465749051835
11,0.8752160761505365,False,1266.31,1267.88,1268.29,1.0,0.00018812880443874747,4.364717,0.7970428049564362,0.6317465749051835
12,0.8561905310489237,True,1266.31,1268.99,1268.29,0.0,3.917482172255404e-05,4.394059,0.6441750725110372,0.54745411740409
13,0.8523022928275168,True,1266.31,1269.48,1268.29,0.0,4.264933886588551e-05,4.392812,0.6250613729159037,0.5922644125090705
14,0.8597504193894565,True,1266.31,1270.21,1268.29,0.0,7.770585952471265e-09,4.138834,0.5751489281654358,0.5181552913453844
15,0.866293708793819,True,1266.31,1271.08,1268.29,0.0,3.720747443480832e-08,4.2613707,0.8371039311091105,0.6164477937751346
16,0.8743592556566,False,1266.31,1270.18,1268.29,1.0,1.501079395893612e-06,4.222547,0.5427602256027361,0.5113432455290523
17,0.87408203817904,False,1266.31,1270.18,1268.29,1.0,1.501079395893612e-06,4.222547,0.5427602256027361,0.5113432455290523
18,0.8762041768059134,False,1266.31,1270.18,1268.29,2.0,1.501079395893612e-06,4.222547,0.5427602256027361,0.5113432455290523
19,1.1619871580041945,False,1266.31,1270.18,1268.29,2.0,1.501079395893612e-06,4.222547,0.5427602256027361,0.5113432455290523
20,0.8638000781647861,False,1266.31,1270.18,1268.29,2.0,1.501079395893612e-06,4.222547,0.5427602256027361,0.5113432455290523
