iter,time,valid,config7_cost,solver_cost,easy_cost,number_of_violations,classifier_score,entropy_score,top_arc_value,top_3_arcs
1,1.0569710093550384,False,0,0,0,,1.0,2.7073305,0.9533590952555339,0.8283375508255428
2,0.8253084379248321,False,1269.6,1269.0,1271.89,1.0,0.9417498111724854,2.5677443,0.7894906679789225,0.7226122617721558
3,0.8211976760067046,False,1269.6,1269.44,1271.89,2.0,0.3498130142688751,4.8555336,0.868816061814626,0.8494698584079742
4,0.831506724935025,False,1269.6,1270.57,1271.89,2.0,0.32433435320854187,4.8350563,0.9175509850184123,0.8227742817666795
5,0.8263225858099759,False,1269.6,1270.75,1271.89,3.0,0.37623268365859985,4.745911,0.8005952874819438,0.769458532333374
6,0.8365627070888877,False,1269.6,1270.75,1271.89,3.0,0.3760691285133362,4.7457743,0.8005952874819438,0.769458532333374
7,0.831353903748095,False,1269.6,1270.57,1271.89,3.0,0.32414841651916504,4.8349338,0.9175509850184123,0.8227742817666795
8,1.0369713515974581,False,1269.6,1271.85,1271.89,3.0,0.2605050504207611,4.797882,0.7713518738746643,0.7418725026978387
9,0.8266799207776785,False,1269.6,1272.35,1271.89,3.0,0.13837355375289917,4.759027,0.7513294200102488,0.6546862423419952
10,0.8342658299952745,False,1269.6,1269.94,1271.89,3.0,0.2593666911125183,4.797701,0.8826282779375713,0.8636182069778443
11,0.8268002984113991,False,1269.6,1271.25,1271.89,3.0,0.2680812478065491,4.687164,0.7984877506891886,0.7680153303676182
12,0.8311812551692128,False,1269.6,1272.35,1271.89,3.0,0.13837355375289917,4.759027,0.7513294200102488,0.6546862423419952
13,0.8254672358743846,False,1269.6,1272.38,1271.89,3.0,0.10131116956472397,4.7511363,0.6929957151412964,0.6658015264405144
14,0.8346266648732126,False,1269.6,1271.25,1271.89,3.0,0.2680812478065491,4.687164,0.7984877506891886,0.7680153303676182
15,1.0604437659494579,False,1269.6,1274.09,1271.89,3.0,0.13372765481472015,4.8100777,0.7744298179944357,0.6535153018103705
16,0.8219100008718669,False,1269.6,1274.12,1271.89,3.0,0.15872707962989807,4.80507,0.6127148111661275,0.5971787518925137
17,0.828053992241621,False,1269.6,1272.4,1271.89,3.0,0.12228970974683762,4.736416,0.6853757540384928,0.6571863161193
18,0.8371601570397615,False,1269.6,1271.28,1271.89,3.0,0.30494996905326843,4.6979227,0.8002469857533773,0.7665006034904055
19,0.8376720971427858,False,1269.6,1274.12,1271.89,3.0,0.15872707962989807,4.80507,0.6127148111661275,0.5971787518925137
20,0.823527880012989,False,1269.6,1272.4,1271.89,3.0,0.12228970974683762,4.736416,0.6853757540384928,0.6571863161193
