iter,time,valid,config7_cost,solver_cost,easy_cost,number_of_violations,classifier_score,entropy_score,top_arc_value,top_3_arcs
1,0.8328550602309406,False,0,0,0,,1.0,2.7873871,0.7501834074656168,0.6153099483913845
2,1.0608029840514064,False,1271.19,1267.81,1272.09,2.0,1.0,2.7105527,0.7377830902735393,0.5660929487811195
3,0.8206299170851707,False,1271.19,1268.77,1272.09,2.0,1.0,2.689941,0.6106163795416554,0.4498714215639565
4,0.8298000060021877,True,1271.19,1270.43,1272.09,0.0,1.5129274499869894e-09,4.338661,0.9731849908828736,0.9495496776368882
5,0.9054218232631683,True,1271.19,1270.93,1272.09,0.0,2.2876636140978235e-09,4.3257155,0.9729727546374003,0.8101943638589647
6,0.8411801219917834,True,1271.19,1271.44,1272.09,0.0,1.0933182137407016e-09,4.252462,0.7942838350931803,0.6363943914572397
7,0.8322779391892254,False,1271.19,1270.68,1272.09,1.0,2.298777834752741e-09,4.2818623,0.9836463133494059,0.9429590490129259
8,0.8221579948440194,False,1271.19,1270.68,1272.09,1.0,2.0057564498188185e-09,4.281944,0.9840856949488322,0.9409797006183201
9,1.0474459058605134,True,1271.19,1272.41,1272.09,0.0,6.400959207120138e-10,4.33578,0.7970822254816691,0.725235124429067
10,0.8400802877731621,False,1271.19,1270.93,1272.09,1.0,2.2871269322877197e-09,4.3256865,0.9729694962501526,0.8101860059632195
11,0.8325647469609976,False,1271.19,1270.93,1272.09,1.0,2.5963844407783654e-09,4.330353,0.9728789448738098,0.8097403354114956
12,0.8317672968842089,True,1271.19,1272.96,1272.09,0.0,1.892757808263923e-07,4.3443265,0.731042226155599,0.6944759713278876
13,0.860234681982547,False,1271.19,1271.77,1272.09,1.0,7.768478083036712e-10,4.3398705,0.6952527205149333,0.6270741277270847
14,0.8247291380539536,False,1271.19,1271.19,1272.09,1.0,1.9863007764797658e-05,4.3960733,0.9826425393422444,0.9725792275534735
15,0.8409325499087572,False,1271.19,1271.19,1272.09,1.0,1.8789121895679273e-05,4.3902283,0.9825523058573405,0.9727558003531561
16,1.0572587009519339,False,1271.19,1272.96,1272.09,1.0,2.1008338535466464e-07,4.3534236,0.7287541766961415,0.6998065094153086
17,0.8371025049127638,False,1271.19,1271.44,1272.09,1.0,9.924330246491309e-10,4.2452464,0.7953263560930888,0.6355837457709842
18,0.8305198303423822,False,1271.19,1271.25,1272.09,1.0,5.813598491499761e-09,4.3858814,0.9502180337905883,0.8501822392145794
19,0.8438784000463784,False,1271.19,1271.25,1272.09,1.0,5.813598491499761e-09,4.3858814,0.9502180337905883,0.8501822392145794
20,0.8326185988262296,False,1271.19,1271.19,1272.09,1.0,1.9884480934706517e-05,4.3960466,0.9826352914174398,0.9725607924991184
