iter,time,valid,config7_cost,solver_cost,easy_cost,number_of_violations,classifier_score,entropy_score,top_arc_value,top_3_arcs
1,0.8143257540650666,False,0,0,0,,0.9978383183479309,3.242074,0.8660060207049052,0.805573280652364
2,0.8155898787081242,False,1256.51,1255.6,1261.26,2.0,0.9054379463195801,3.1651425,1.0,0.7754689322577581
3,0.8166053933091462,False,1256.51,1257.39,1261.26,2.0,0.00015975495625752956,4.094805,0.9023982405662536,0.7347189366817474
4,0.8205425580963492,False,1256.51,1257.77,1261.26,2.0,8.340292697539553e-05,4.115658,0.8109011650085449,0.7320472584830391
5,0.8125786520540714,False,1256.51,1257.87,1261.26,2.0,0.00010791148088173941,4.083401,0.8765391866366069,0.7508214645915562
6,0.8213433669880033,False,1256.51,1257.53,1261.26,3.0,9.70992841757834e-05,4.1366878,0.927790904045105,0.8587438093291389
7,0.8176573952659965,False,1256.51,1257.65,1261.26,3.0,0.00019255861116107553,4.0700607,0.8719796379407246,0.7464507102966308
8,1.0431846678256989,False,1256.51,1257.65,1261.26,3.0,0.0001934454485308379,4.071133,0.8721476674079895,0.7464085194799636
9,0.8261778368614614,False,1256.51,1257.87,1261.26,3.0,0.00010740485595306382,4.0834045,0.8765391866366069,0.7508216182390849
10,0.8250367478467524,False,1256.51,1257.87,1261.26,3.0,0.000114703674626071,4.092612,0.8756953358650208,0.7578715443611145
11,0.851446074899286,False,1256.51,1259.79,1261.26,2.0,5.6510329159209505e-05,4.2575254,1.0,0.9270957324239942
12,0.8258762932382524,False,1256.51,1260.16,1261.26,2.0,1.6619296729913913e-05,4.138759,0.9186315655708313,0.7639662861824036
13,0.8177982373163104,False,1256.51,1259.79,1261.26,3.0,5.6510329159209505e-05,4.2575254,1.0,0.9270957324239942
14,0.8179038502275944,False,1256.51,1259.79,1261.26,3.0,6.021049921400845e-05,4.2649674,1.0,0.9271004928482904
15,0.8218536549247801,False,1256.51,1260.67,1261.26,2.0,6.72809164825594e-07,4.162863,0.8910651206970215,0.8116675641801622
16,1.0554371629841626,False,1256.51,1260.83,1261.26,2.0,9.198849397762388e-07,3.9307022,0.8852917949358622,0.8375195880730947
17,0.8221123730763793,False,1256.51,1261.03,1261.26,2.0,5.513542760127166e-07,4.1113625,0.9211824337641398,0.8741556578212314
18,0.8223439590074122,False,1256.51,1261.01,1261.26,3.0,1.2506183111327118e-06,4.082953,0.8504660129547119,0.7783434947331745
19,0.8349065082147717,False,1256.51,1261.01,1261.26,3.0,1.2506183111327118e-06,4.082953,0.8504660129547119,0.7783434947331745
20,0.8284632069990039,False,1256.51,1261.64,1261.26,2.0,9.276063792640343e-07,4.031264,0.9260445872942606,0.8550760812229581
