iter,time,valid,config7_cost,solver_cost,easy_cost,number_of_violations,classifier_score,entropy_score,top_arc_value,top_3_arcs
1,0.8214829438365996,False,0,0,0,,0.7548707723617554,3.1311648,0.543357867312928,0.3724425876720084
2,0.8263494791463017,True,1265.73,1263.22,1268.69,0.0,0.0006953438278287649,4.2140393,0.7009101847807566,0.6704643302493626
3,0.8292438108474016,True,1265.73,1264.39,1268.69,0.0,0.0006969466921873391,4.305713,0.678544282913208,0.6053449114163717
4,1.0460721720010042,True,1265.73,1264.51,1268.69,0.0,5.368654819903895e-05,4.224595,0.8277256468931834,0.6804104838106367
5,0.8296307870186865,True,1265.73,1264.88,1268.69,0.0,0.0025491926353424788,4.494484,0.9417628049850464,0.8259635011355083
6,0.8289222023449838,False,1265.73,1265.02,1268.69,2.0,1.0,2.561181,0.6620604395866394,0.46725238429175486
7,1.0840399251319468,False,1265.73,1265.48,1268.69,2.0,1.0,2.5804749,0.7097450455029806,0.5730627768569523
8,0.9358908566646278,True,1265.73,1265.83,1268.69,0.0,2.0749980649270583e-06,4.425782,0.7717365622520447,0.7481266140937805
9,0.872218903619796,False,1265.73,1265.38,1268.69,1.0,2.955686113637057e-07,4.196294,0.6772949934005738,0.5844787372483148
10,0.832288681063801,False,1265.73,1265.46,1268.69,1.0,5.119713364365452e-07,4.204128,0.6881927013397217,0.5999250372250874
11,1.0447443258017302,False,1265.73,1265.83,1268.69,1.0,2.0749980649270583e-06,4.425782,0.7717365622520447,0.7481266140937805
12,0.8199370610527694,False,1265.73,1265.83,1268.69,1.0,2.0749980649270583e-06,4.425782,0.7717365622520447,0.7481266140937805
13,0.8647320410236716,True,1265.73,1266.11,1268.69,0.0,2.4264627995762567e-07,4.293581,0.9141991376876831,0.8711465716362
14,0.8400705712847412,True,1265.73,1266.62,1268.69,0.0,3.285295591126669e-08,4.043224,0.741934061050415,0.6820142269134521
15,0.8276382549665868,False,1265.73,1264.94,1268.69,1.0,5.976092779746978e-06,4.0760274,0.8245015462239583,0.7596575028366512
16,0.8506717476993799,False,1265.73,1264.94,1268.69,1.0,6.973672270760289e-07,4.084201,0.8275087197621663,0.7628900574313269
17,0.8272174010053277,False,1265.73,1266.62,1268.69,1.0,3.285295591126669e-08,4.043224,0.741934061050415,0.6820142269134521
18,1.0430280142463744,False,1265.73,1266.62,1268.69,1.0,3.21688361282213e-07,4.058602,0.7420800924301147,0.6835421310530769
19,0.8268629349768162,False,1265.73,1266.62,1268.69,1.0,2.806940244681755e-07,4.0787897,0.7503721117973328,0.6865414500236512
20,0.8693143441341817,False,1265.73,1266.62,1268.69,1.0,3.285295591126669e-08,4.043224,0.741934061050415,0.6820142269134521
