iter,time,valid,config7_cost,solver_cost,easy_cost,number_of_violations,classifier_score,entropy_score,top_arc_value,top_3_arcs
1,0.8384628207422793,False,0,0,0,,1.0,2.9826984,0.7504636605580648,0.6470516694916619
2,0.8422532370314002,True,1266.86,1266.41,1268.19,0.0,0.00016095324826892465,4.4407926,0.8289115269978841,0.8104700565338135
3,0.8388567781075835,False,1266.86,1266.55,1268.19,2.0,0.9999651908874512,2.771224,0.9443233887354533,0.7862714283996158
4,0.8412550059147179,False,1266.86,1266.41,1268.19,1.0,0.0001609639875823632,4.440794,0.8289133032162984,0.8104701267348395
5,0.840018305927515,False,1266.86,1266.41,1268.19,1.0,0.00016387811047025025,4.4381175,0.8268094142278035,0.8069251351886324
6,1.1057627438567579,True,1266.86,1269.51,1268.19,0.0,5.822282764711417e-05,4.385918,0.8691028992335001,0.8374433345264859
7,0.8434139518067241,True,1266.86,1269.97,1268.19,0.0,6.96705756126903e-05,4.2577033,0.9605453968048095,0.9033996860186259
8,0.850903638638556,True,1266.86,1270.29,1268.19,0.0,4.178593471237946e-09,4.1508927,0.7751132607460022,0.7153923948605856
9,0.8551468113437295,True,1266.86,1270.73,1268.19,0.0,7.95021333033219e-06,4.129533,0.9373003562291463,0.8505139506525463
10,0.8365777898579836,True,1266.86,1270.83,1268.19,0.0,6.954353011678904e-06,4.134745,0.8559697151184082,0.8403043720457289
11,0.8452640380710363,True,1266.86,1271.16,1268.19,0.0,0.00010268884216202423,4.233567,1.0,0.9557540708118015
12,0.8389298641122878,True,1266.86,1271.31,1268.19,0.0,4.5072952161717694e-06,4.239447,0.6288132309913635,0.6224261773957146
13,0.8418440129607916,True,1266.86,1271.61,1268.19,0.0,1.8527961418790886e-14,4.05108,0.7063613414764405,0.6842585073577033
14,1.075295849237591,False,1266.86,1271.06,1268.19,1.0,5.217955276748398e-06,4.245303,0.6838738719622294,0.6510023809141582
15,0.842241948004812,False,1266.86,1271.19,1268.19,1.0,1.7989908656090847e-06,4.2170005,0.9463959534962972,0.8138535327381557
16,0.8474601577036083,False,1266.86,1271.4,1268.19,1.0,1.9760152554226806e-06,4.2301884,0.6660309950510661,0.6172838939560785
17,0.8374651428312063,False,1266.86,1272.03,1268.19,1.0,8.423193321505096e-06,4.2793517,0.6724455257256826,0.5995602746804556
18,0.8409063331782818,False,1266.86,1271.19,1268.19,2.0,1.798918901840807e-06,4.2170024,0.9463959534962972,0.8138535327381557
19,0.8384015988558531,False,1266.86,1271.19,1268.19,2.0,1.798918901840807e-06,4.2170024,0.9463959534962972,0.8138535327381557
20,0.8497259696014225,False,1266.86,1272.19,1268.19,1.0,2.24908717427752e-06,4.2374544,0.6714266022046407,0.5752250870068868
