iter,time,valid,config7_cost,solver_cost,easy_cost,number_of_violations,classifier_score,entropy_score,top_arc_value,top_3_arcs
1,0.8695548782125115,False,0,0,0,,0.9999783039093018,3.085129,0.8856146653493245,0.7326628069082896
2,0.8493949230760336,False,1262.52,1261.09,1266.51,4.0,0.07161706686019897,4.699642,0.8419854243596395,0.6969917482799954
3,0.8453691620379686,False,1262.52,1262.6,1266.51,5.0,4.6959914470789954e-05,4.6742992,0.648866868019104,0.5820157239834467
4,0.9063193602487445,False,1262.52,1263.24,1266.51,5.0,1.0073365046991967e-05,4.6128283,0.5690355151891708,0.4998242176241345
5,1.1602426059544086,False,1262.52,1263.4,1266.51,3.0,1.4746648346886104e-09,4.422338,0.49921255111694335,0.4451829138729307
6,0.84971585823223,False,1262.52,1263.4,1266.51,4.0,1.4746648346886104e-09,4.422338,0.49921255111694335,0.4451829138729307
7,0.8633167590014637,False,1262.52,1263.4,1266.51,4.0,1.4746648346886104e-09,4.422338,0.49921255111694335,0.4451829138729307
8,0.858818706125021,False,1262.52,1263.4,1266.51,4.0,1.474535604728544e-09,4.4223547,0.49921563267707825,0.44518388642205137
9,0.8574824999086559,False,1262.52,1263.4,1266.51,4.0,1.4746648346886104e-09,4.422338,0.49921255111694335,0.4451829138729307
10,0.8582108630798757,False,1262.52,1263.4,1266.51,4.0,1.4746648346886104e-09,4.422338,0.49921255111694335,0.4451829138729307
11,0.8497769827954471,False,1262.52,1263.4,1266.51,4.0,1.4746648346886104e-09,4.422338,0.49921255111694335,0.4451829138729307
12,0.8486852631904185,False,1262.52,1263.4,1266.51,4.0,1.474535604728544e-09,4.4223547,0.49921563267707825,0.44518388642205137
13,0.8540700892917812,False,1262.52,1263.4,1266.51,4.0,1.4746648346886104e-09,4.422338,0.49921255111694335,0.4451829138729307
14,1.1692188479937613,False,1262.52,1263.4,1266.51,4.0,1.4746648346886104e-09,4.422338,0.49921255111694335,0.4451829138729307
15,0.8434383361600339,False,1262.52,1263.4,1266.51,4.0,1.4746648346886104e-09,4.422338,0.49921255111694335,0.4451829138729307
16,0.8666154919192195,False,1262.52,1263.4,1266.51,4.0,1.474535604728544e-09,4.4223547,0.49921563267707825,0.44518388642205137
17,0.885839763097465,False,1262.52,1263.4,1266.51,4.0,1.4746648346886104e-09,4.422338,0.49921255111694335,0.4451829138729307
18,0.8567261970601976,False,1262.52,1263.4,1266.51,4.0,1.4746648346886104e-09,4.422338,0.49921255111694335,0.4451829138729307
19,0.8518892209976912,False,1262.52,1263.4,1266.51,4.0,1.4746648346886104e-09,4.422338,0.49921255111694335,0.4451829138729307
20,0.8670133603736758,False,1262.52,1263.4,1266.51,4.0,1.474535604728544e-09,4.4223547,0.49921563267707825,0.44518388642205137
