iter,time,valid,config7_cost,solver_cost,easy_cost,number_of_violations,classifier_score,entropy_score,top_arc_value,top_3_arcs
1,0.868698145262897,False,0,0,0,,0.9999902248382568,2.6502752,0.7025477329889933,0.4946537342336443
2,0.8758469438180327,True,1267.09,1266.99,1265.13,0.0,6.555703293997794e-05,4.400783,0.782548475265503,0.7731072379483117
3,0.8571936790831387,True,1267.09,1267.39,1265.13,0.0,4.737941708299331e-06,4.3603544,0.8775336941083273,0.8012751473320855
4,0.8580506099388003,True,1267.09,1268.05,1265.13,0.0,6.36127538200526e-07,4.3624225,0.916603171825409,0.8100106610192194
5,0.8546138680540025,False,1267.09,1268.05,1265.13,1.0,4.4731993398272607e-07,4.3637395,0.9157786250114441,0.8093856679068671
6,0.8598248180933297,False,1267.09,1268.15,1265.13,1.0,1.2704316709744035e-08,4.3652806,0.9751494447390239,0.8790158920817905
7,0.8648465699516237,False,1267.09,1268.85,1265.13,1.0,2.3186680664366577e-07,4.4363756,0.8421210606892904,0.7599333451853858
8,1.1628276547417045,False,1267.09,1268.85,1265.13,1.0,2.3192009734884778e-07,4.4363804,0.842136267820994,0.7599362187915378
9,0.8568763849325478,True,1267.09,1270.41,1265.13,0.0,4.790098628859596e-08,4.4305453,0.8031961957613627,0.79609002272288
10,0.8578171422705054,False,1267.09,1268.85,1265.13,1.0,2.3186680664366577e-07,4.4363756,0.8421210606892904,0.7599333451853858
11,0.91320526227355,False,1267.09,1268.85,1265.13,1.0,2.3192009734884778e-07,4.4363804,0.842136267820994,0.7599362187915378
12,0.8617700641043484,False,1267.09,1270.41,1265.13,1.0,4.790098628859596e-08,4.4305453,0.8031961957613627,0.79609002272288
13,0.8786215106956661,False,1267.09,1270.41,1265.13,1.0,4.790418373090688e-08,4.430538,0.8031932989756266,0.7960837536387974
14,0.8603456690907478,False,1267.09,1268.85,1265.13,1.0,2.3186680664366577e-07,4.4363756,0.8421210606892904,0.7599333451853858
15,0.8651728122495115,False,1267.09,1268.85,1265.13,1.0,2.3192009734884778e-07,4.4363804,0.842136267820994,0.7599362187915378
16,0.860897941980511,False,1267.09,1270.41,1265.13,1.0,4.790098628859596e-08,4.4305453,0.8031961957613627,0.79609002272288
17,1.1442183800972998,False,1267.09,1270.41,1265.13,1.0,4.790418373090688e-08,4.430538,0.8031932989756266,0.7960837536387974
18,0.868334234226495,False,1267.09,1277.34,1265.13,1.0,3.88169382858905e-07,4.3961067,0.8936253190040588,0.6415099501609802
19,0.864494982175529,False,1267.09,1277.34,1265.13,1.0,3.88169382858905e-07,4.3961067,0.8936253190040588,0.6415099501609802
20,0.8627580581232905,False,1267.09,1268.85,1265.13,1.0,3.3397955689906667e-07,4.4370737,0.8397349874178569,0.7590018583668603
