iter,time,valid,config7_cost,solver_cost,easy_cost,number_of_violations,classifier_score,entropy_score,top_arc_value,top_3_arcs
1,1.202629887033254,False,0,0,0,,0.5335565209388733,3.2463894,0.7685670614242553,0.7130731854173872
2,0.8532264232635498,False,1265.46,1264.89,1267.12,2.0,1.0,2.8997493,0.8641374905904134,0.8000433074103461
3,0.8931224020197988,False,1265.46,1264.89,1267.12,2.0,4.414640443428652e-06,4.2957735,0.8534552812576294,0.8242714126904805
4,0.8917237459681928,False,1265.46,1265.15,1267.12,2.0,4.235028882249026e-06,4.327423,0.7594792723655701,0.726929490433799
5,0.8502092990092933,False,1265.46,1265.15,1267.12,3.0,6.223090736057202e-07,4.301001,0.699613732099533,0.6858692427476246
6,0.8598178578540683,False,1265.46,1265.18,1267.12,3.0,2.3949167371029034e-05,4.3732424,0.9298633694648742,0.800061469607883
7,0.8659175280481577,False,1265.46,1265.18,1267.12,3.0,2.3949167371029034e-05,4.3732424,0.9298633694648742,0.800061469607883
8,0.8510466199368238,False,1265.46,1265.18,1267.12,3.0,5.649208674185502e-07,4.3038173,0.9296728372573853,0.7684249142805735
9,1.1334429769776762,False,1265.46,1265.18,1267.12,3.0,1.0823391960457229e-07,4.3062363,0.9297278841336568,0.7709792395432791
10,0.8746951278299093,False,1265.46,1265.18,1267.12,3.0,2.3949167371029034e-05,4.3732424,0.9298633694648742,0.800061469607883
11,0.8699257411062717,False,1265.46,1267.2,1267.12,3.0,2.2499779817053422e-08,4.214279,0.8615670442581177,0.6713577051957449
12,0.8648993950337172,False,1265.46,1265.18,1267.12,3.0,5.649208674185502e-07,4.3038173,0.9296728372573853,0.7684249142805735
13,0.8631657087244093,False,1265.46,1265.18,1267.12,3.0,1.0823391960457229e-07,4.3062363,0.9297278841336568,0.7709792395432791
14,0.8582296087406576,False,1265.46,1267.2,1267.12,3.0,1.091652208629057e-07,4.2098417,0.8616710583368937,0.670085686776373
15,0.8619376257993281,False,1265.46,1267.2,1267.12,3.0,4.633735443348996e-06,4.287467,0.8582104245821635,0.6844484474923876
16,0.8559425710700452,False,1265.46,1265.18,1267.12,3.0,5.649208674185502e-07,4.3038173,0.9296728372573853,0.7684249142805735
17,0.8684746022336185,False,1265.46,1265.18,1267.12,3.0,1.0823391960457229e-07,4.3062363,0.9297278841336568,0.7709792395432791
18,1.199221424292773,False,1265.46,1267.2,1267.12,3.0,1.091652208629057e-07,4.2098417,0.8616710583368937,0.670085686776373
19,0.91604097886011,False,1265.46,1265.18,1267.12,3.0,2.3949167371029034e-05,4.3732424,0.9298633694648742,0.800061469607883
20,0.8680778183043003,False,1265.46,1265.18,1267.12,3.0,5.649208674185502e-07,4.3038173,0.9296728372573853,0.7684249142805735
