iter,time,valid,config7_cost,solver_cost,easy_cost,number_of_violations,classifier_score,entropy_score,top_arc_value,top_3_arcs
1,0.8220096142031252,False,0,0,0,,0.9999977350234985,3.081633,0.8122589985529581,0.745713984966278
2,1.0414143726229668,False,1264.1,1260.56,1266.41,3.0,0.6742604374885559,3.2878652,0.42119138638178505,0.39873231781853563
3,0.8655347521416843,False,1264.1,1260.63,1266.41,3.0,0.999972939491272,2.7923527,0.7221146941184997,0.6219358152813381
4,0.82333845179528,False,1264.1,1258.84,1266.41,3.0,0.9999977350234985,3.0816407,0.8122583250204722,0.7457223898834652
5,0.8227497129701078,False,1264.1,1258.84,1266.41,3.0,1.0,2.9971573,0.848329226175944,0.7739342921310001
6,0.8188098110258579,False,1264.1,1261.03,1266.41,3.0,0.015779465436935425,4.1947393,0.8475114782651265,0.7858343554867638
7,0.8217312409542501,False,1264.1,1262.33,1266.41,4.0,1.0,2.9687002,0.7870508114496867,0.5787369599669344
8,0.8448786861263216,False,1264.1,1261.03,1266.41,4.0,0.015779465436935425,4.1947393,0.8475114782651265,0.7858343554867638
9,1.0398384626023471,False,1264.1,1261.03,1266.41,4.0,0.015779465436935425,4.1947393,0.8475114782651265,0.7858343554867638
10,0.8152697011828423,False,1264.1,1263.29,1266.41,4.0,1.0,2.8875504,0.9478151996930441,0.8049638450145721
11,0.8303590281866491,False,1264.1,1263.53,1266.41,2.0,2.957491233246401e-05,4.243477,0.9015018653745452,0.7989983635437158
12,0.8197889709845185,False,1264.1,1263.53,1266.41,3.0,2.957491233246401e-05,4.243477,0.9015018653745452,0.7989983635437158
13,0.8212746339850128,False,1264.1,1263.53,1266.41,3.0,2.957491233246401e-05,4.243477,0.9015018653745452,0.7989983635437158
14,0.8202629871666431,False,1264.1,1264.76,1266.41,2.0,8.279995381599292e-05,4.2073355,0.8104953765869141,0.7900653805997636
15,0.8230700991116464,False,1264.1,1265.56,1266.41,2.0,2.8043445126968436e-05,4.2196903,1.0,0.8067870073848301
16,0.8209616462700069,False,1264.1,1265.56,1266.41,3.0,2.8043445126968436e-05,4.2196903,1.0,0.8067870073848301
17,1.0622521960176528,False,1264.1,1265.56,1266.41,3.0,2.8028845918015577e-05,4.219718,1.0,0.8066079762246874
18,0.8319117808714509,False,1264.1,1265.24,1266.41,3.0,1.592962348695437e-07,3.9961498,0.8105502168337504,0.7113185200426314
19,0.8434353787451982,False,1264.1,1265.24,1266.41,4.0,1.592962348695437e-07,3.9961498,0.8105502168337504,0.7113185200426314
20,0.820847952272743,False,1264.1,1265.32,1266.41,6.0,0.9999980926513672,2.6512487,0.8687771121660869,0.7645665778054132
