iter,time,valid,config7_cost,solver_cost,easy_cost,number_of_violations,classifier_score,entropy_score,top_arc_value,top_3_arcs
1,0.8297282289713621,False,0,0,0,,1.0,2.674537,0.6250897740324338,0.42950325856606164
2,0.8302467060275376,True,1265.05,1265.05,1266.83,0.0,7.693709846989805e-08,4.207853,0.9301120638847351,0.7420837495062086
3,0.8222492099739611,False,1265.05,1265.05,1266.83,1.0,7.693709846989805e-08,4.207853,0.9301120638847351,0.7420837495062086
4,0.8245380646549165,False,1265.05,1265.05,1266.83,1.0,7.693709846989805e-08,4.207853,0.9301120638847351,0.7420837495062086
5,0.8142705028876662,True,1265.05,1265.66,1266.83,0.0,1.0920708604089668e-07,4.2342606,0.7768964926401775,0.6969996598031786
6,1.0469517959281802,True,1265.05,1265.78,1266.83,0.0,4.8785693707031896e-08,4.3393416,0.6676235198974609,0.6256212989489237
7,0.8119530179537833,False,1265.05,1265.78,1266.83,1.0,4.8785693707031896e-08,4.3393416,0.6676235198974609,0.6256212989489237
8,0.8282269281335175,False,1265.05,1265.78,1266.83,1.0,4.8785693707031896e-08,4.3393416,0.6676235198974609,0.6256212989489237
9,0.8374475310556591,False,1265.05,1265.78,1266.83,1.0,4.8785693707031896e-08,4.3393416,0.6676235198974609,0.6256212989489237
10,0.8289542528800666,False,1265.05,1265.78,1266.83,1.0,4.8785693707031896e-08,4.3393416,0.6676235198974609,0.6256212989489237
11,0.8207058697007596,False,1265.05,1265.78,1266.83,1.0,4.8785693707031896e-08,4.3393416,0.6676235198974609,0.6256212989489237
12,0.8232581722550094,False,1265.05,1265.78,1266.83,1.0,4.8785693707031896e-08,4.3393416,0.6676235198974609,0.6256212989489237
13,0.8184759318828583,False,1265.05,1265.78,1266.83,1.0,4.8785693707031896e-08,4.3393416,0.6676235198974609,0.6256212989489237
14,1.0994667178019881,False,1265.05,1265.78,1266.83,1.0,4.8785693707031896e-08,4.3393416,0.6676235198974609,0.6256212989489237
15,0.8212959892116487,False,1265.05,1265.78,1266.83,1.0,4.8785693707031896e-08,4.3393416,0.6676235198974609,0.6256212989489237
16,0.8236338519491255,False,1265.05,1265.78,1266.83,1.0,4.8785693707031896e-08,4.3393416,0.6676235198974609,0.6256212989489237
17,0.8247799319215119,False,1265.05,1265.78,1266.83,1.0,4.8785693707031896e-08,4.3393416,0.6676235198974609,0.6256212989489237
18,0.8226010450161994,False,1265.05,1265.78,1266.83,1.0,4.8785693707031896e-08,4.3393416,0.6676235198974609,0.6256212989489237
19,0.8281312109902501,False,1265.05,1265.78,1266.83,1.0,4.8785693707031896e-08,4.3393416,0.6676235198974609,0.6256212989489237
20,0.8168019293807447,False,1265.05,1265.78,1266.83,1.0,4.8785693707031896e-08,4.3393416,0.6676235198974609,0.6256212989489237
