iter,time,valid,config7_cost,solver_cost,easy_cost,number_of_violations,classifier_score,entropy_score,top_arc_value,top_3_arcs
1,1.0446602441370487,False,0,0,0,,0.9999995231628418,5.5601263,0.7724081377188364,0.6875715542170736
2,0.8151220045983791,False,1259.82,1257.61,1264.27,4.0,0.9998722076416016,5.791811,0.8541570703188578,0.6814265608787536
3,0.8211279744282365,False,1259.82,1258.63,1264.27,3.0,0.9910139441490173,6.0682063,0.8270052552223206,0.586202719145351
4,0.8240675795823336,False,1259.82,1259.33,1264.27,4.0,0.849965512752533,6.334936,0.652750825881958,0.5527636008130179
5,0.8188965423032641,False,1259.82,1259.4,1264.27,4.0,0.9560120701789856,6.182955,0.5836041212081909,0.5009775161743164
6,0.8249565986916423,False,1259.82,1259.73,1264.27,2.0,0.23019878566265106,6.2931347,0.57105952501297,0.5350212732950846
7,0.8319433918222785,False,1259.82,1259.8,1264.27,2.0,0.15996327996253967,6.289175,0.3603840470314026,0.3437390916877323
8,1.0622180765494704,False,1259.82,1259.94,1264.27,2.0,0.1490197777748108,6.284729,0.3658704161643982,0.3471008638540904
9,0.9255483178421855,False,1259.82,1260.1,1264.27,2.0,0.14072635769844055,6.2820735,0.3525409996509552,0.32956779135598074
10,0.8299090312793851,False,1259.82,1260.65,1264.27,2.0,0.15079186856746674,6.300293,0.3186951835950216,0.31865307986736296
11,0.8314866404980421,False,1259.82,1258.93,1264.27,3.0,0.995728075504303,5.4417605,0.8536454757054647,0.6790770173072814
12,0.827970189973712,False,1259.82,1258.93,1264.27,3.0,0.9913871884346008,5.5120783,0.8289576133092245,0.6151095138655768
13,0.822951422072947,False,1259.82,1261.09,1264.27,2.0,0.060810402035713196,6.3401527,0.6620461543401083,0.6573626849386427
14,0.8259658236056566,False,1259.82,1261.15,1264.27,3.0,0.039414551109075546,6.2566843,0.7060770551363628,0.6657639940579733
15,1.0441405307501554,False,1259.82,1261.15,1264.27,3.0,0.04153455048799515,6.259096,0.7074034611384074,0.6741289741463131
16,0.8441683407872915,False,1259.82,1261.73,1264.27,3.0,0.047518592327833176,6.30538,0.676815801858902,0.6283222648832533
17,0.8242078963667154,False,1259.82,1261.89,1264.27,3.0,0.055568721145391464,6.3244443,0.7353043953577677,0.6407221727901035
18,0.822217189706862,False,1259.82,1262.36,1264.27,3.0,0.07101623713970184,6.325267,0.85082635084788,0.7910245233111911
19,0.8281752094626427,False,1259.82,1262.46,1264.27,3.0,0.06989282369613647,6.3289437,0.877234145005544,0.8333934307098388
20,0.8241061400622129,False,1259.82,1262.56,1264.27,4.0,0.038174763321876526,6.290773,0.9501503586769104,0.9091546681192186
