iter,time,valid,config7_cost,solver_cost,easy_cost,number_of_violations,classifier_score,entropy_score,top_arc_value,top_3_arcs
1,0.8085578475147486,False,0,0,0,,0.24662384390830994,6.1409035,0.7533896048863729,0.7182302998171912
2,0.812801850028336,True,1256.63,1256.95,1259.35,0.0,0.030535485595464706,6.209256,0.9274566769599915,0.8046166022618612
3,0.8168873293325305,True,1256.63,1257.73,1259.35,0.0,0.030485138297080994,6.2033186,0.794809877872467,0.7767695294486151
4,1.0409654332324862,True,1256.63,1258.12,1259.35,0.0,0.05211395397782326,6.1778226,0.8715284109115601,0.842563682132297
5,0.815013961866498,True,1256.63,1258.15,1259.35,0.0,0.06409100443124771,6.2210665,0.7907883524894714,0.7709682888454861
6,0.818436891771853,False,1256.63,1257.37,1259.35,1.0,0.06506233662366867,6.2157817,0.9253724932670593,0.8409434398015341
7,0.8129162602126598,False,1256.63,1257.37,1259.35,1.0,0.06506233662366867,6.2157817,0.9253724932670593,0.8409434398015341
8,0.8251488506793976,True,1256.63,1258.99,1259.35,0.0,0.05845016613602638,6.2278123,0.8177462180455526,0.74042462905248
9,0.8281887378543615,True,1256.63,1259.34,1259.35,0.0,0.0355355404317379,6.204587,0.6590728600819905,0.6390703943040635
10,0.8208000343292952,False,1256.63,1259.2,1259.35,1.0,0.06713853031396866,6.2428303,0.7896849473317464,0.7431023412280613
11,0.8299039183184505,False,1256.63,1259.2,1259.35,1.0,0.0414508692920208,6.198976,0.7897861997286478,0.7436650421884324
12,0.817418010905385,False,1256.63,1259.34,1259.35,1.0,0.0355355404317379,6.204587,0.6590728600819905,0.6390703943040635
13,1.069444078952074,False,1256.63,1259.2,1259.35,1.0,0.06713853031396866,6.2428303,0.7896849473317464,0.7431023412280613
14,0.8245522351935506,False,1256.63,1259.2,1259.35,1.0,0.0414508692920208,6.198976,0.7897861997286478,0.7436650421884324
15,0.8139696437865496,False,1256.63,1257.72,1259.35,1.0,0.039664700627326965,6.1887474,0.9255110462506612,0.8026708549923366
16,0.8267674697563052,False,1256.63,1259.51,1259.35,1.0,0.026697905734181404,6.1842446,0.7241424878438314,0.6883853250079683
17,0.8159072613343596,False,1256.63,1259.34,1259.35,1.0,0.0355355404317379,6.204587,0.6590728600819905,0.6390703943040635
18,0.812758550979197,False,1256.63,1259.2,1259.35,1.0,0.06713853031396866,6.2428303,0.7896849473317464,0.7431023412280613
19,0.8249971764162183,False,1256.63,1259.2,1259.35,1.0,0.0414508692920208,6.198976,0.7897861997286478,0.7436650421884324
20,0.8196051120758057,False,1256.63,1257.72,1259.35,1.0,0.039664700627326965,6.1887474,0.9255110462506612,0.8026708549923366
