iter,time,valid,config7_cost,solver_cost,easy_cost,number_of_violations,classifier_score,entropy_score,top_arc_value,top_3_arcs
1,0.8420889275148511,False,0,0,0,,0.9997760653495789,5.4124575,0.7339784542719523,0.6142893744839563
2,1.0481368955224752,False,1266.8,1264.81,1269.19,2.0,0.9937983155250549,5.7155232,0.7271314402421315,0.6494309544563294
3,0.8324775900691748,True,1266.8,1266.36,1269.19,0.0,0.08228933811187744,6.2688084,0.8524450421333313,0.7806399186452229
4,0.8247023271396756,True,1266.8,1266.61,1269.19,0.0,0.07598600536584854,6.272548,0.8978510777155558,0.8212998774316577
5,0.8242238890379667,False,1266.8,1266.36,1269.19,1.0,0.08228473365306854,6.268809,0.8524476726849873,0.7806402709749011
6,0.8364812023937702,False,1266.8,1266.36,1269.19,1.0,0.08228739351034164,6.2688046,0.852313224474589,0.7805277281337313
7,0.8234519045799971,False,1266.8,1266.61,1269.19,1.0,0.07598312944173813,6.272551,0.8978628595670064,0.821308335993025
8,0.8252570675686002,False,1266.8,1266.61,1269.19,1.0,0.07598600536584854,6.272548,0.8978510777155558,0.8212998774316577
9,0.827491139061749,True,1266.8,1267.38,1269.19,0.0,0.05631667748093605,6.273366,0.8157517552375794,0.7344400134351519
10,1.048021805472672,False,1266.8,1267.38,1269.19,1.0,0.05690163001418114,6.2698574,0.8153407176335653,0.7342875056796604
11,0.8151243245229125,False,1266.8,1266.61,1269.19,1.0,0.07598600536584854,6.272548,0.8978510777155558,0.8212998774316577
12,0.8282672008499503,False,1266.8,1266.36,1269.19,1.0,0.08228739351034164,6.2688046,0.852313224474589,0.7805277281337313
13,0.826098321005702,False,1266.8,1266.8,1269.19,1.0,0.08841190487146378,6.293732,0.814597467581431,0.7575423055224948
14,0.8531190659850836,False,1266.8,1267.38,1269.19,1.0,0.05690106377005577,6.2698584,0.8153406341870626,0.7342862367630004
15,0.828067041002214,False,1266.8,1266.8,1269.19,1.0,0.08841190487146378,6.293732,0.814597467581431,0.7575423055224948
16,0.8393698465079069,False,1266.8,1267.38,1269.19,1.0,0.05690163001418114,6.2698574,0.8153407176335653,0.7342875056796604
17,1.0445092869922519,False,1266.8,1266.8,1269.19,1.0,0.08841190487146378,6.293732,0.814597467581431,0.7575423055224948
18,0.8245875490829349,False,1266.8,1267.38,1269.19,1.0,0.05690163001418114,6.2698574,0.8153407176335653,0.7342875056796604
19,0.8174137054011226,False,1266.8,1266.8,1269.19,1.0,0.08841190487146378,6.293732,0.814597467581431,0.7575423055224948
20,0.8250659992918372,False,1266.8,1267.38,1269.19,1.0,0.05690163001418114,6.2698574,0.8153407176335653,0.7342875056796604
