iter,time,valid,config7_cost,solver_cost,easy_cost,number_of_violations,classifier_score,entropy_score,top_arc_value,top_3_arcs
1,1.0542816668748856,False,0,0,0,,0.37234869599342346,6.3251543,0.5142089207967122,0.4746614442931281
2,0.8246657010167837,True,1262.56,1262.74,1262.56,0.0,0.2576388418674469,6.334182,0.4230142176151276,0.4050478862391578
3,0.8236939143389463,True,1262.56,1263.4,1262.56,0.0,0.25329989194869995,6.341403,0.41344767610232036,0.37417883210712005
4,0.8230253476649523,True,1262.56,1263.55,1262.56,0.0,0.28848427534103394,6.365923,0.3544718861579895,0.329730216662089
5,0.8259115731343627,True,1262.56,1264.17,1262.56,0.0,0.1180306151509285,6.293575,0.3253614087899526,0.3096405473020342
6,0.821638043038547,True,1262.56,1264.4,1262.56,0.0,0.11792014539241791,6.2897205,0.3441423217455546,0.31629223856661054
7,0.8296281574293971,False,1262.56,1264.4,1262.56,1.0,0.11792014539241791,6.2897205,0.3441423217455546,0.31629223856661054
8,1.0354492394253612,False,1262.56,1264.4,1262.56,1.0,0.11792533099651337,6.2897253,0.344152041276296,0.31630162133110895
9,0.8244831012561917,True,1262.56,1265.49,1262.56,0.0,0.031865596771240234,6.2787285,0.8575169483820597,0.8322423193189833
10,0.8188794916495681,False,1262.56,1265.49,1262.56,1.0,0.031865596771240234,6.2787285,0.8575169483820597,0.8322423193189833
11,0.8283461956307292,False,1262.56,1265.49,1262.56,1.0,0.031865596771240234,6.2787285,0.8575169483820597,0.8322423193189833
12,0.8195082545280457,True,1262.56,1267.37,1262.56,0.0,0.04581073671579361,6.270755,0.7721225023269653,0.7243688821792603
13,0.8189294133335352,False,1262.56,1267.37,1262.56,1.0,0.045973002910614014,6.2708836,0.7721161842346191,0.7243557148509555
14,0.8253217963501811,False,1262.56,1267.37,1262.56,1.0,0.04581073671579361,6.270755,0.7721225023269653,0.7243688821792603
15,0.8261978235095739,True,1262.56,1268.39,1262.56,0.0,0.03793588653206825,6.2650695,0.7482301195462545,0.7015228231747944
16,1.0331548312678933,False,1262.56,1267.37,1262.56,1.0,0.04581073671579361,6.270755,0.7721225023269653,0.7243688821792603
17,0.8134734183549881,False,1262.56,1267.37,1262.56,1.0,0.045973002910614014,6.2708836,0.7721161842346191,0.7243557148509555
18,0.8231590054929256,True,1262.56,1268.46,1262.56,0.0,0.031383659690618515,6.285541,0.8060102423032125,0.7637741737895541
19,0.8305218098685145,False,1262.56,1268.3,1262.56,1.0,0.026379751041531563,6.233291,0.9291635751724243,0.8375233040915595
20,0.8277013069018722,False,1262.56,1268.3,1262.56,1.0,0.026286272332072258,6.233158,0.9290682355562846,0.8374828643269009
