iter,time,valid,config7_cost,solver_cost,easy_cost,number_of_violations,classifier_score,entropy_score,top_arc_value,top_3_arcs
1,0.8237054059281945,False,0,0,0,,0.42439666390419006,6.3327746,0.6602225323518117,0.4736164192358652
2,0.8235938455909491,False,1263.32,1262.98,1265.58,1.0,0.8212800025939941,6.146427,0.528839307030042,0.46229159136613207
3,0.8153791073709726,True,1263.32,1263.32,1265.58,0.0,0.21275517344474792,6.362096,0.8007532954216003,0.7759823944833544
4,1.0354125741869211,True,1263.32,1264.5,1265.58,0.0,0.23436008393764496,6.3676653,0.85083935658137,0.7969864646593728
5,0.8132543507963419,True,1263.32,1265.0,1265.58,0.0,0.26715216040611267,6.3936176,0.7558170278867086,0.7192677292558883
6,0.8249109880998731,False,1263.32,1263.97,1265.58,1.0,0.23172463476657867,6.372282,0.8047356128692627,0.7290590869055854
7,0.8215501215308905,False,1263.32,1263.97,1265.58,1.0,0.23131228983402252,6.3722076,0.8047302842140198,0.7290600856145223
8,0.8149191522970796,True,1263.32,1265.79,1265.58,0.0,0.222691148519516,6.398221,0.6644608934720357,0.6345795889695486
9,0.8223822815343738,True,1263.32,1265.79,1265.58,0.0,0.222691148519516,6.398221,0.6644608934720357,0.6345795889695486
10,0.8259885273873806,True,1263.32,1265.97,1265.58,0.0,0.15321417152881622,6.3774023,0.8096794168154399,0.7920274575551352
11,0.8201471520587802,True,1263.32,1266.53,1265.58,0.0,0.18199238181114197,6.384499,0.7700374364852905,0.7582101530498928
12,1.046002835035324,False,1263.32,1266.53,1265.58,1.0,0.16586503386497498,6.3836145,0.770031766096751,0.7580412440829806
13,0.8256461909040809,False,1263.32,1266.53,1265.58,1.0,0.16586503386497498,6.3836145,0.770031766096751,0.7580412440829806
14,0.8373618358746171,True,1263.32,1267.07,1265.58,0.0,0.18601439893245697,6.3823977,0.7663843750953674,0.7566218137741089
15,0.823186463676393,False,1263.32,1266.53,1265.58,1.0,0.18199238181114197,6.384499,0.7700374364852905,0.7582101530498928
16,0.825261146761477,False,1263.32,1266.53,1265.58,1.0,0.16586503386497498,6.3836145,0.770031766096751,0.7580412440829806
17,0.8256204156205058,False,1263.32,1267.07,1265.58,1.0,0.16960319876670837,6.381461,0.7662518382072449,0.7563962803946601
18,0.8236131090670824,False,1263.32,1266.53,1265.58,1.0,0.18199238181114197,6.384499,0.7700374364852905,0.7582101530498928
19,0.8093883628025651,False,1263.32,1266.53,1265.58,1.0,0.16586503386497498,6.3836145,0.770031766096751,0.7580412440829806
20,1.0355902072042227,False,1263.32,1267.07,1265.58,1.0,0.16960319876670837,6.381461,0.7662518382072449,0.7563962803946601
