iter,time,valid,config7_cost,solver_cost,easy_cost,number_of_violations,classifier_score,entropy_score,top_arc_value,top_3_arcs
1,1.0425603818148375,False,0,0,0,,0.7730870246887207,6.0748644,0.8386653741200765,0.596873379084799
2,0.80251560267061,True,1254.46,1254.28,1258.45,0.0,0.0898008719086647,6.223058,0.44594141642252605,0.4160211947229173
3,0.8091368013992906,True,1254.46,1254.51,1258.45,0.0,0.11100441962480545,6.2642,0.34937665462493894,0.33171677986780806
4,0.8113231277093291,False,1254.46,1254.51,1258.45,1.0,0.11100441962480545,6.2642,0.34937665462493894,0.33171677986780806
5,0.81114062666893,False,1254.46,1254.51,1258.45,1.0,0.11100441962480545,6.2642,0.34937665462493894,0.33171677986780806
6,0.8139076652005315,True,1254.46,1254.86,1258.45,0.0,0.12350636720657349,6.256176,0.38372010588645933,0.376958707968394
7,0.8322979900985956,True,1254.46,1255.27,1258.45,0.0,0.09682004898786545,6.2598133,0.32853239178657534,0.3234107842048009
8,0.8153390968218446,True,1254.46,1255.31,1258.45,0.0,0.10009491443634033,6.2540197,0.35419684449831645,0.3279297126664056
9,0.815620151348412,True,1254.46,1256.12,1258.45,0.0,0.08905132859945297,6.260746,0.3084473470846812,0.2978481587436464
10,1.044580340385437,False,1254.46,1256.12,1258.45,1.0,0.08904282003641129,6.260767,0.3084749698638916,0.2978843122720718
11,0.8167307609692216,False,1254.46,1256.12,1258.45,1.0,0.08905132859945297,6.260746,0.3084473470846812,0.2978481587436464
12,0.8130337493494153,True,1254.46,1257.76,1258.45,0.0,0.07890553772449493,6.252053,0.3134509483973185,0.3014020775755247
13,0.8193971132859588,True,1254.46,1257.79,1258.45,0.0,0.07102818787097931,6.265579,0.2749381850163142,0.26666183902157675
14,0.8163540456444025,False,1254.46,1257.79,1258.45,1.0,0.07102818787097931,6.265579,0.2749381850163142,0.26666183902157675
15,0.8198422435671091,False,1254.46,1257.79,1258.45,1.0,0.07102818787097931,6.265579,0.2749381850163142,0.26666183902157675
16,0.8167194658890367,True,1254.46,1259.8,1258.45,0.0,0.05405906215310097,6.226815,0.2561934153238932,0.2503294848733478
17,0.8157366588711739,True,1254.46,1259.95,1258.45,0.0,0.07193052023649216,6.214659,0.4074447194735209,0.38788479434119333
18,1.032274542376399,False,1254.46,1259.93,1258.45,1.0,0.06669275462627411,6.2444773,0.392547078927358,0.36279964844385787
19,0.8171978052705526,False,1254.46,1260.02,1258.45,1.0,0.07570651918649673,6.257292,0.36063589453697203,0.33901275462574426
20,0.8130573248490691,False,1254.46,1259.93,1258.45,1.0,0.06669275462627411,6.2444773,0.392547078927358,0.36279964844385787
