iter,time,valid,config7_cost,solver_cost,easy_cost,number_of_violations,classifier_score,entropy_score,top_arc_value,top_3_arcs
1,1.057597822509706,False,0,0,0,,0.8399307727813721,6.359269,0.7632069230079651,0.6595072329044341
2,0.8149201776832342,True,1262.47,1264.09,1265.08,0.0,0.4423801004886627,6.3586054,0.5375184973080953,0.5332171320915222
3,0.8349379980936646,True,1262.47,1264.12,1265.08,0.0,0.4563199281692505,6.379085,0.5309477090835572,0.47922775811619234
4,0.8319738674908876,True,1262.47,1264.36,1265.08,0.0,0.5759095549583435,6.324465,0.622295065720876,0.4960766209496392
5,0.8670420963317156,False,1262.47,1264.36,1265.08,1.0,0.5759095549583435,6.324465,0.622295065720876,0.4960766209496392
6,0.8040028586983681,False,1262.47,1264.36,1265.08,1.0,0.5758994817733765,6.3244615,0.6222977201143901,0.4960791134172016
7,0.899058491922915,False,1262.47,1265.7,1265.08,2.0,0.7873833179473877,6.245857,0.7027521848678588,0.6250348130861918
8,0.8034990709275007,True,1262.47,1265.81,1265.08,0.0,0.16024893522262573,6.3353777,0.8800666411717732,0.8466264035966661
9,0.8687659138813615,True,1262.47,1266.75,1265.08,0.0,0.14654697477817535,6.3698177,0.8890595197677612,0.8477689358923169
10,1.0404345765709877,True,1262.47,1266.86,1265.08,0.0,0.1068105399608612,6.3607035,0.8422701756159464,0.8329071799914042
11,0.8475538250058889,True,1262.47,1267.79,1265.08,0.0,0.1194939836859703,6.358222,0.8967143217722575,0.8663355602158441
12,0.85500961355865,False,1262.47,1267.79,1265.08,1.0,0.13627822697162628,6.3840294,0.8969145496686299,0.8658727195527819
13,0.8089285911992192,False,1262.47,1265.92,1265.08,1.0,0.16275076568126678,6.3719845,0.8797610441843668,0.8263343029552036
14,0.8027253691107035,False,1262.47,1265.92,1265.08,1.0,0.16275076568126678,6.3719845,0.8797610441843668,0.8263343029552036
15,0.8220817325636744,False,1262.47,1266.86,1265.08,1.0,0.12474828213453293,6.383339,0.8969433029492696,0.8503524846500822
16,0.8072066623717546,False,1262.47,1268.25,1265.08,1.0,0.10557563602924347,6.393466,0.8380021611849467,0.8067890193727282
17,0.8244589893147349,False,1262.47,1268.67,1265.08,1.0,0.12611591815948486,6.3779607,0.8493140896161397,0.8170986135800681
18,0.8108725352212787,False,1262.47,1269.77,1265.08,1.0,0.10784128308296204,6.4225864,0.8645222226778666,0.7986696163813273
19,1.0491485744714737,False,1262.47,1269.98,1265.08,1.0,0.09556978195905685,6.4200287,0.7771160880724589,0.7547091762224833
20,0.8141396520659328,False,1262.47,1269.98,1265.08,1.0,0.09556978195905685,6.4200287,0.7771160880724589,0.7547091762224833
