iter,time,valid,config7_cost,solver_cost,easy_cost,number_of_violations,classifier_score,entropy_score,top_arc_value,top_3_arcs
1,0.8129681060090661,False,0,0,0,,0.9989398121833801,5.525758,0.8149459481239318,0.6279644846916199
2,0.8293172428384423,False,1264.01,1264.75,1266.98,1.0,0.14161954820156097,6.358777,0.9020437041918437,0.779665986696879
3,0.8178964825347066,True,1264.01,1265.43,1266.98,0.0,0.06508824974298477,6.3563356,0.7329826871554057,0.6515205211109585
4,0.8181883683428168,False,1264.01,1266.15,1266.98,1.0,0.09886758029460907,6.3813868,0.6259274244308471,0.6046331259939405
5,0.8381073428317904,False,1264.01,1266.73,1266.98,1.0,0.09695694595575333,6.3824873,0.887043050924937,0.8621011561817592
6,0.8070321725681424,False,1264.01,1266.73,1266.98,2.0,0.09695694595575333,6.3824873,0.887043050924937,0.8621011561817592
7,0.8085142048075795,False,1264.01,1266.73,1266.98,2.0,0.09695694595575333,6.3824873,0.887043050924937,0.8621011561817592
8,0.8067826442420483,False,1264.01,1267.25,1266.98,1.0,0.07393994927406311,6.3566556,0.9428468664487203,0.8943593502044678
9,1.0601402251049876,False,1264.01,1267.27,1266.98,1.0,0.11131900548934937,6.367695,0.8973400274912516,0.7652569373448689
10,0.8360747527331114,False,1264.01,1267.6,1266.98,1.0,0.11671659350395203,6.3671618,0.8809172868728637,0.8616279880205789
11,0.8604674153029919,False,1264.01,1267.27,1266.98,2.0,0.11131900548934937,6.367695,0.8973400274912516,0.7652569373448689
12,0.8106427174061537,False,1264.01,1267.27,1266.98,2.0,0.11131900548934937,6.367695,0.8973400274912516,0.7652569373448689
13,0.8447052780538797,False,1264.01,1268.05,1266.98,1.0,0.10022986680269241,6.3786783,0.871982753276825,0.8531466629770067
14,0.814165823161602,True,1264.01,1268.07,1266.98,0.0,0.07554443925619125,6.3356657,0.5718083659807841,0.5494378500514561
15,0.8043252974748611,False,1264.01,1266.74,1266.98,1.0,0.07301517575979233,6.3396707,0.5887126644452413,0.5618101239204406
16,0.8543355669826269,False,1264.01,1266.74,1266.98,1.0,0.07301517575979233,6.3396707,0.5887126644452413,0.5618101239204406
17,0.8411002224311233,True,1264.01,1268.16,1266.98,0.0,0.050634969025850296,6.3239036,0.5696703573067983,0.5560636778672535
18,1.0321879107505083,False,1264.01,1267.44,1266.98,1.0,0.05097244679927826,6.3204684,0.7498066226641337,0.6298600792884826
19,0.8079465329647064,False,1264.01,1267.44,1266.98,1.0,0.05097351595759392,6.320474,0.7498135288556417,0.6298731870121426
20,0.8034427287057042,True,1264.01,1268.27,1266.98,0.0,0.04053245112299919,6.321455,0.8597366015116373,0.8184973067707485
