iter,time,valid,config7_cost,solver_cost,easy_cost,number_of_violations,classifier_score,entropy_score,top_arc_value,top_3_arcs
1,0.8772957120090723,False,0,0,0,,0.8689939379692078,6.140979,0.6079509099324544,0.47890512148539227
2,0.813064519315958,False,1265.52,1263.26,1267.51,1.0,0.8375558853149414,6.188104,0.6163080890973409,0.6133252196841771
3,1.0793824577704072,False,1265.52,1263.38,1267.51,1.0,0.5629526972770691,6.3051677,0.3552704433600108,0.3072507030434079
4,0.8211409663781524,False,1265.52,1263.82,1267.51,1.0,0.5725357532501221,6.302666,0.36173858443895973,0.3244010236528185
5,0.8493929421529174,False,1265.52,1263.97,1267.51,1.0,0.5821751356124878,6.302432,0.3361299932003021,0.3140062308973737
6,0.8082591388374567,False,1265.52,1263.38,1267.51,2.0,0.5629526972770691,6.3051677,0.3552704433600108,0.3072507030434079
7,0.8092619059607387,False,1265.52,1263.38,1267.51,2.0,0.5629526972770691,6.3051677,0.3552704433600108,0.3072507030434079
8,0.8165844762697816,False,1265.52,1264.64,1267.51,1.0,0.5471053719520569,6.3075686,0.2752316892147064,0.2719407247172461
9,0.8188210744410753,False,1265.52,1264.79,1267.51,1.0,0.5339560508728027,6.306815,0.2749410967032115,0.2700451652208964
10,0.8189928065985441,False,1265.52,1265.31,1267.51,2.0,0.5306386947631836,6.305984,0.2696764131387075,0.26278355055385166
11,0.8165553109720349,False,1265.52,1265.44,1267.51,2.0,0.5319334268569946,6.3072042,0.2753765861193339,0.2648400167624156
12,1.1121811429038644,False,1265.52,1265.44,1267.51,2.0,0.5319451093673706,6.3072014,0.27537493308385214,0.26483802662955397
13,0.8446874096989632,False,1265.52,1265.31,1267.51,2.0,0.5306386947631836,6.305984,0.2696764131387075,0.26278355055385166
14,0.8664901880547404,False,1265.52,1267.22,1267.51,1.0,0.39137572050094604,6.2800417,0.2861197749773661,0.27564134697119397
15,0.808428150601685,False,1265.52,1266.97,1267.51,2.0,0.5271596908569336,6.2995186,0.312704735994339,0.291484793027242
16,0.8439820287749171,False,1265.52,1266.97,1267.51,2.0,0.5271479487419128,6.29953,0.3127071976661682,0.29148752523793114
17,0.8071255050599575,False,1265.52,1267.22,1267.51,2.0,0.39137572050094604,6.2800417,0.2861197749773661,0.27564134697119397
18,0.8102114060893655,False,1265.52,1266.97,1267.51,2.0,0.5271596908569336,6.2995186,0.312704735994339,0.291484793027242
19,0.8105796482414007,False,1265.52,1266.97,1267.51,2.0,0.5271479487419128,6.29953,0.3127071976661682,0.29148752523793114
20,0.8119070706889033,False,1265.52,1267.83,1267.51,2.0,0.45291176438331604,6.296811,0.30572122931480405,0.2825902985201942
